"astro-ph/0501645","Jacco Vink","Jacco Vink (SRON National Institute for Space Research, Netherlands)","Gamma-ray Observations of Explosive Nucleosynthesis Products","Invited review given at the 35th COSPAR Scientific Assembly, Paris,
  July 18-25 2004, session E1.4 (joint session with E1.5) 'Young Neutron Stars
  and Supernova Remnants' edited by C. Rakowski and S. Chatterjee. 11 pages,
  AdSpR emulate style",,"10.1016/j.asr.2005.01.097",,"astro-ph",,"  In this review I discuss the various gamma-ray emission lines that are
expected and have been observed from radioactive explosive nucleosynthesis
products. The most important gamma-ray lines result from the decay chains of
Ni-56, Ni-57, and Ti-44. Ni-56 is the prime explosive nucleosynthesis product
of Type Ia supernovae, but Ni-56 is also a product of core-collapse supernovae.
Gamma-ray line emission from its daughter product, Co-56, has been detected
from SN1987A. The early occurrence of this emission indicates that some
fraction of Ni-56, which is synthesized in the innermost supernova layers, must
have mixed with the outermost ejecta.
  Special attention is given to the gamma-ray line emission of the decay chain
of Ti-44, giving line emission at 68 keV, 78 keV, and 1157keV. Given its decay
time of 86 yr, one expects this line emission from young supernova remnants.
The Ti-44 production is very sensitive to the explosion properties This makes
Ti-44 an ideal tool to study the inner layers of the supernova explosion.
  The gamma-ray line emission from Ti-44 has so far only been detected from the
supernova remnant Cas A. I discuss these detections, which were made by COMPTEL
and BeppoSAX, which suggest a Ti-44 yield of (1.5+/-1.0)x10^{-4} Msun.
Moreover, I present some preliminary results of Cas A observations by INTEGRAL,
which has yielded a 3sigma detection of the 68 keV line with the ISGRI
instrument at a level consistent with the BeppoSAX results. A preliminary
analysis of the vailable INTEGRAL-SPI data indicates that narrow line emission
(Delta v < 1000 km/s) can be almost excluded at the 2sigma level. (Abridged)
","[{""version"":""v1"",""created"":""Sat, 29 Jan 2005 16:51:59 GMT""}]","2009-11-10"
"astro-ph/0501654","Dirk Froebrich","D. Froebrich (1), T.P. Ray (1), G.C. Murphy (1), A. Scholz (2) ((1)
  Dublin Institute for Advanced Studies, (2) University of Toronto)","A Galactic Plane Relative Extinction Map from 2MASS","4 pages, 2 figures, A&A Letters accepted, version with high
  resolution figures at http://www.dias.ie/~df",,"10.1051/0004-6361:200500016",,"astro-ph",,"  We present three 14400 square degree relative extinction maps of the Galactic
Plane (|b|<20degrees) obtained from 2MASS using accumulative star counts (Wolf
diagrams). This method is independent of the colour of the stars and the
variation of extinction with wavelength. Stars were counted in 3.5'x3.5' boxes,
every 20"". 1x1degree surrounding fields were chosen for reference, hence the
maps represent local extinction enhancements and ignore any contribution from
the ISM or very large clouds. Data reduction was performed on a Beowulf-type
cluster (in approximately 120 hours). Such a cluster is ideal for this type of
work as areas of the sky can be independently processed in parallel. We studied
how extinction depends on wavelength in all of the high extinction regions
detected and within selected dark clouds. On average a power law opacity index
(\beta) of 1.0 to 1.8 in the NIR was deduced. The index however differed
significantly from region to region and even within individual dark clouds.
That said, generally it was found to be constant, or to increase, with
wavelength within a particular region.
","[{""version"":""v1"",""created"":""Sat, 29 Jan 2005 16:19:26 GMT""}]","2009-11-10"
"astro-ph/0501655","Michael Zingale","M. Zingale, S. E. Woosley, C. A. Rendleman, M. S. Day, J. B. Bell","Three-dimensional Numerical Simulations of Rayleigh-Taylor Unstable
  Flames in Type Ia Supernovae","accepted to ApJ some figures degraded to conserve space","Astrophys.J. 632 (2005) 1021-1034","10.1086/433164",,"astro-ph",,"  Flame instabilities play a dominant role in accelerating the burning front to
a large fraction of the speed of sound in a Type Ia supernova. We present a
three-dimensional numerical simulation of a Rayleigh-Taylor unstable carbon
flame, following its evolution through the transition to turbulence. A low Mach
number hydrodynamics method is used, freeing us from the harsh timestep
restrictions imposed by sound waves. We fully resolve the thermal structure of
the flame and its reaction zone, eliminating the need for a flame model. A
single density is considered, $1.5\times 10^7 \gcc$, and half carbon\slash half
oxygen fuel--conditions under which the flame propagated in the flamelet regime
in our related two-dimensional study. We compare to a corresponding
two-dimensional simulation, and show that while fire-polishing keeps the small
features suppressed in two dimensions, turbulence wrinkles the flame on far
smaller scales in the three-dimensional case, suggesting that the transition to
the distributed burning regime occurs at higher densities in three dimensions.
Detailed turbulence diagnostics are provided. We show that the turbulence
follows a Kolmogorov spectrum and is highly anisotropic on the large scales,
with a much larger integral scale in the direction of gravity. Furthermore, we
demonstrate that it becomes more isotropic as it cascades down to small scales.
Based on the turbulent statistics and the flame properties of our simulation,
we compute the Gibson scale. We show the progress of the turbulent flame
through a classic combustion regime diagram, indicating that the flame just
enters the distributed burning regime near the end of our simulation.
","[{""version"":""v1"",""created"":""Sat, 29 Jan 2005 20:38:03 GMT""},{""version"":""v2"",""created"":""Fri, 3 Jun 2005 23:12:19 GMT""}]","2009-11-10"
"astro-ph/0501656","Caina Hao","C. N. Hao, X. Y. Xia, Shude Mao, Hong Wu, and Z. G. Deng","The Physical Connections Among IR QSOs, PG QSOs and Narrow-Line Seyfert
  1 Galaxies","32 pages, 6 figures, accepted by ApJ","Astrophys.J.625:78-88,2005","10.1086/429716",,"astro-ph",,"  We study the properties of infrared-selected QSOs (IR QSOs),
optically-selected QSOs (PG QSOs) and Narrow Line Seyfert 1 galaxies (NLS1s).
We compare their properties from the infrared to the optical and examine
various correlations among the black hole mass, accretion rate, star formation
rate and optical and infrared luminosities. We find that the infrared excess in
IR QSOs is mostly in the far infrared, and their infrared spectral indices
suggest that the excess emission is from low temperature dust heated by
starbursts rather than AGNs. The infrared excess is therefore a useful
criterion to separate the relative contributions of starbursts and AGNs. We
further find a tight correlation between the star formation rate and the
accretion rate of central AGNs for IR QSOs. The ratio of the star formation
rate and the accretion rate is about several hundred for IR QSOs, but decreases
with the central black hole mass. This shows that the tight correlation between
the stellar mass and the central black hole mass is preserved in massive
starbursts during violent mergers. We suggest that the higher Eddington ratios
of NLS1s and IR QSOs imply that they are in the early stage of evolution toward
classical Seyfert 1's and QSOs, respectively.
","[{""version"":""v1"",""created"":""Sun, 30 Jan 2005 06:43:52 GMT""}]","2008-11-26"
"astro-ph/0501657","Luka C. Popovic","M. S. Dimitrijevic (AOB), T. Ryabchikova (IARAS), L. C. Popovic (AOB,
  AIP), D. Shulyak (TNU), S. Khan (TNU)","On the influence of Stark broadening on Cr I lines in stellar
  atmospheres","8 pages, Astron. Astrophys. accepted",,"10.1051/0004-6361:20042318",,"astro-ph",,"  Using the semiclassical perturbation method, electron-, proton-, and ionized
helium-impact line widths and shifts for the nine Cr I spectral lines from the
$4p^7P^0-4d^7D$ multiplet, have been calculated for a perturbers density of
10$^{14}$ cm$^{-3}$ and temperatures T =2,500 - 50,000 K. The obtained results
have been used to investigate the influence of Stark broadening effect in the
Cr-rich Ap star $\beta $ CrB atmosphere on line shapes of these lines. It has
been found that the contribution of the proton and He II collisions to the line
width and shift is significant, and it is comparable and sometimes (depending
of the electron temperature) even larger than electron-impact contribution.
Moreover, not only the Stark line width, but, depending on the electron-,
proton-, and He\ii density in stellar atmosphere also the Stark shift may
contribute to the blue as well as to the red asymmetry of the same line. The
obtained results have been used to investigate the influence of Stark
broadening effect on line shapes of Cr\i lines in the atmosphere of Cr-rich Ap
star $\beta $ CrB.
","[{""version"":""v1"",""created"":""Sun, 30 Jan 2005 15:19:38 GMT""}]","2009-11-10"
"cond-mat/0501721","Sergei Mukhin I.","Sergei I. Mukhin, Svetlana V. Baoukina","Analytical derivation of lateral pressure profile from microscopic model
  of lipid bilayer","5 pages, 3 figures, submitted to PRL in October 2004",,,,"cond-mat.soft cond-mat.stat-mech",,"  Field-theoretical method is proposed, that yields analytical expression for
lateral pressure distribution across hydrophobic core of a bilayer lipid
membrane. Lipid molecule, repelling entropicaly surrounding neighbors, is
modeled as a flexible string embedded between confining walls in the
self-consistent harmonic potential. At room temperature the pressure profile is
expressed solely via lowest energy eigenfunctions of the operator of the string
energy density. Analytical results compare favorably with molecular dynamics
simulations. The theory is suited to study protein-lipid interaction.
","[{""version"":""v1"",""created"":""Sun, 30 Jan 2005 11:47:09 GMT""}]","2007-05-23"
"cond-mat/0501732","Markus Lazar","Markus Lazar","Peach-Koehler forces within the theory of nonlocal elasticity","10 pages, 3 figures, to appear in: Proceedings of the EUROMECH
  Colloquium 445 on 'Mechanics of Material Forces'",,,,"cond-mat.mtrl-sci",,"  We consider dislocations in the framework of Eringen's nonlocal elasticity.
The fundamental field equations of nonlocal elasticity are presented. Using
these equations, the nonlocal force stresses of a straight screw and a straight
edge dislocation are given. By the help of these nonlocal stresses, we are able
to calculate the interaction forces between dislocations (Peach-Koehler
forces). All classical singularities of the Peach-Koehler forces are
eliminated. The extremum values of the forces are found near the dislocation
line.
","[{""version"":""v1"",""created"":""Sat, 29 Jan 2005 16:17:58 GMT""}]","2007-05-23"
"gr-qc/0501097","Soumen Basak","Soumen Basak","Analog of Superradiance effect in BEC","12 pages, No figure",,,,"gr-qc",,"  We investigate the scattering of phase oscillation of Bose-Einstein
Condensate by a 'draining of bathtub' type fluid motion. We derive a relation
between the reflection and transmission coefficients which exhibits existence
of analog of 'Superradiance effect' in BEC vortex with sink.
","[{""version"":""v1"",""created"":""Sun, 30 Jan 2005 15:24:18 GMT""}]","2007-05-23"
"hep-lat/0501030","Edwin Laermann","C.R. Allton, M. Doering, S. Ejiri, S.J. Hands, O. Kaczmarek, F.
  Karsch, E. Laermann, K. Redlich","Thermodynamics of Two Flavor QCD to Sixth Order in Quark Chemical
  Potential","38 pages, 30 encapsulated postscript figures, typo corrected, 1
  footnote added","Phys.Rev.D71:054508,2005","10.1103/PhysRevD.71.054508",,"hep-lat",,"  We present results of a simulation of 2-flavor QCD on a 4x16^3 lattice using
p4-improved staggered fermions with bare quark mass m/T=0.4. Derivatives of the
thermodynamic grand canonical partition function Z(V,T,mu_u,mu_d) with respect
to chemical potentials mu_(u,d) for different quark flavors are calculated up
to sixth order, enabling estimates of the pressure and the quark number density
as well as the chiral condensate and various susceptibilities as functions of
mu_q = (mu_u + mu_d)/2 via Taylor series expansion. Furthermore, we analyze
baryon as well as isospin fluctuations and discuss the relation between the
radius of convergence of the Taylor series and the chiral critical point in the
QCD phase diagram. We argue that bulk thermodynamic observables do not, at
present, provide direct evidence for the existence of a chiral critical point
in the QCD phase diagram. Results are compared to high temperature perturbation
theory as well as a hadron resonance gas model.
","[{""version"":""v1"",""created"":""Sun, 30 Jan 2005 11:10:35 GMT""},{""version"":""v2"",""created"":""Mon, 14 Mar 2005 10:06:42 GMT""}]","2008-11-26"
"hep-ph/0501275","Rabindra N. Mohapatra","R. N. Mohapatra, M. K. Parida and G. Rajasekaran","Threshold Effects on Quasi-degenerate Neutrinos with High-scale Mixing
  Unification","Four pages, no figures","Phys.Rev. D71 (2005) 057301","10.1103/PhysRevD.71.057301",,"hep-ph",,"  We consider threshold effects on neutrino masses and mixings in a recently
proposed model for understanding large solar and atmospheric mixing angles
using radiative magnification for the case of quasi-degenerate neutrinos. We
show that the magnitude of the threshold effects is sufficient to bring
concordance between the predictions of this model and latest data from ${\rm
KamLAND}$ and ${\rm SNO}$ on observations of neutrino oscillations.
","[{""version"":""v1"",""created"":""Sat, 29 Jan 2005 18:35:06 GMT""}]","2009-11-11"
