"astro-ph/0506094","Chiaki Kobayashi","Chiaki Kobayashi (MPA)","GRAPE-SPH Chemodynamical Simulation of Elliptical Galaxies II: Scaling
  Relations and the Fundamental Plane","Accepted for publication in MNRAS. 13 pages mpeg simulations
  available at http://www.MPA-Garching.MPG.DE/~chiaki/movie.html","Mon.Not.Roy.Astron.Soc. 361 (2005) 1216-1226","10.1111/j.1365-2966.2005.09248.x",,"astro-ph",,"  We simulate the formation and chemodynamical evolution of 128 elliptical
galaxies using a GRAPE-SPH code that includes various physical processes that
are associated with the formation of stellar systems: radiative cooling, star
formation, feedback from Type II and Ia supernovae and stellar winds, and
chemical enrichment. We find that the star formation timescale controls when
and where stars form in the contracting gas cloud, determines the effective
radius at given mass, and is constrained by observation to be ten times longer
than the local dynamical timescale. We succeed in reproducing the observed
global scaling relations under our CDM-based scenario, e.g., the Faber-Jackson
relation, the Kormendy relation, and the fundamental plane. An intrinsic
scatter exists along the fundamental plane, and the origin of this scatter lies
in differences in merging history. Galaxies that undergo major merger events
tend to have larger effective radii and fainter surface brightnesses, which
result in larger masses, smaller surface brightnesses, and larger mass-to-light
ratios. We can also reproduce the observed colour-magnitude and
mass-metallicity relations, although the scatter is larger than observed. The
scatter arises because feedback is not very effective and star formation does
not terminate completely in our simulations. ~25% of accreted baryons are blown
away in the simulations, independent of the assumed star formation timescale
and initial mass function. Most heavy elements end up locked into stars in the
galaxy. The ejected metal fraction depends only on the star formation
timescale, and is ~2% even to rapid star formation.
","[{""version"":""v1"",""created"":""Sat, 4 Jun 2005 16:28:09 GMT""}]","2009-11-11"
"astro-ph/0506095","GianLuca Israel","GianLuca Israel (INAF - OAR), Stefano Covino (INAF - OAB), Roberto
  Mignani (ESO), Luigi Stella (INAF - OAR), Gianni Marconi (ESO), Vincenzo
  Testa (INAF- OAR), Sandro Mereghetti (INAF - IASF), Sergio Campana (INAF -
  OAB), Nanda Rea (SRON/INAF), Diego Gotz (INAF - IASF), Rosalba Perna (JILA)
  and Gaspare Lo Curto (ESO)","Discovery and Monitoring of the likely IR Counterpart of SGR 1806-20
  during the 2004 gamma-ray burst-active state","4 pages, 2 figures. Accepted for publication on A&A Letters",,"10.1051/0004-6361:200500138",,"astro-ph",,"  The sky region including the Chandra position of SGR 1806-20 was monitored in
the IR band during 2004, following its increased high energy bursting activity.
Observations were performed using NAOS-CONICA, the adaptive optics IR camera
mounted on Yepun VLT, which provided images of unprecedented quality (FWHM
better than 0.1""). After the 2004 December 27th giant flare, the source
position has been nailed by VLA observations of its radio counterpart, reducing
the positional uncertainty to 0.04"". Using IR data from our monitoring
campaign, we discovered the likely IR counterpart to SGR 1806-20 based on
positional coincidence with the Chandra and VLA uncertainty regions and flux
variability of a factor of about 2 correlated with that at higher energies. We
compare our findings with other isolated neutron star classes thought to be
related, at some level, with SGRs.
","[{""version"":""v1"",""created"":""Sat, 4 Jun 2005 17:39:07 GMT""}]","2009-11-11"
"astro-ph/0506096","Benjamin D. G. Chandran","Benjamin D. G. Chandran","AGN-driven convection in galaxy-cluster plasmas","30 pages, 4 figures, accepted--ApJ",,"10.1086/432596",,"astro-ph",,"  This paper describes how active galactic nuclei can heat galaxy-cluster
plasmas by driving convection in the intracluster medium. A model is proposed
in which a central supermassive black hole accretes intracluster plasma at the
Bondi rate and powers a radio source. The central radio source produces cosmic
rays, which mix into the thermal plasma. The cosmic-ray luminosity is
proportional to the mass accretion rate. The cosmic-ray pressure gradient
drives convection, which causes plasma heating. It is assumed that plasma
heating balances radiative cooling. The plasma heating rate is self-regulating
because the Bondi accretion rate is a decreasing function of the specific
entropy near the cluster center; if heating exceeds cooling, then the central
entropy increases, the Bondi rate and cosmic-ray luminosity decrease, and the
convective heating rate is reduced. This paper focuses on the role of
intracluster magnetic fields, which affect convection by causing heat and
cosmic rays to diffuse primarily along magnetic field lines. A new stability
criterion is derived for convection in a thermal-plasma/cosmic-ray fluid, and
equations for the average fluid properties in a convective cluster are obtained
with the use of a nonlocal two-fluid mixing length theory. Numerical solutions
of the model equations compare reasonably well with observations without
requiring fine tuning of the model parameters.
","[{""version"":""v1"",""created"":""Sat, 4 Jun 2005 18:39:29 GMT""}]","2009-11-11"
"astro-ph/0506098","Karen Vanlandingham","Karen M. Vanlandingham, Greg J. Schwarz and Steve B. Howell","Discovery of Non-radial pulsations in PQ Andromedae","7 pages, 5 figures",,"10.1086/432456",,"astro-ph",,"  We have detected pulsations in time-series photometry of the WZ Sge dwarf
nova PQ And. The strongest peak in the power spectrum occurs at a period of
10.5 minutes. Similar periods have been observed in other WZ Sge systems and
are attributed to ZZ Ceti type non-radial pulsations. There is no indication in
the photometry of an approximately 1.7 hour orbital period as reported in
previous spectroscopic observations.
","[{""version"":""v1"",""created"":""Sun, 5 Jun 2005 00:58:58 GMT""}]","2009-11-11"
"astro-ph/0506099","Peter Mohr","P. Mohr, C. Angulo, P. Descouvemont, H. Utsunomiya","Relation between the 16O(alpha,gamma)20Ne reaction and its reverse
  20Ne(gamma,alpha)16O reaction in stars and in the laboratory","4 pages, 2 figures, Proceedings Nuclear Physics in Astrophysics-II,
  Debrecen, Hungary, 2005","Eur.Phys.J. A27 (2006) 75-78","10.1140/epja/i2006-08-010-1",,"astro-ph",,"  The astrophysical reaction rates of the 16O(a,g)20Ne capture reaction and its
inverse 20Ne(g,a)16O photodisintegration reaction are given by the sum of
several narrow resonances and a small direct capture contribution at low
temperatures. Although the thermal population of low lying excited states in
16O and 20Ne is extremely small, the first excited state in 20Ne plays a
non-negligible role for the photodisintegration rate. Consequences for
experiments with so-called quasi-thermal photon energy distributions are
discussed.
","[{""version"":""v1"",""created"":""Sun, 5 Jun 2005 07:53:30 GMT""}]","2015-06-24"
"astro-ph/0506100","Takahiro Sasaqui","T. Sasaqui, T. Kajino, and A. B. Balantekin","Supernova Neutrino-Effects on R-Process Nucleosynthesis in Black Hole
  Formation","ApJ (2005) in press, 24pages, 8figures","Astrophys.J. 634 (2005) 534-541","10.1086/491730",,"astro-ph",,"  Stars with a wide range of masses provide a variety of production sites for
intermediate-to-heavy mass elements. Very massive stars with mass $\geq 8
M_{\odot}$ culminate their evolution by supernova explosions which are presumed
to be the most viable candidate astrophysical sites of r-process
nucleosynthesis. If the models for the supernova r-process are correct, then
nucleosynthesis results could also pose a significant constraint on the remnant
of supernova explosions, $i.e.$ neutron star or black hole. In the case of very
massive core collapse, a remnant stellar black hole is thought to be formed.
Intense neutrino flux from the neutronized core and the neutrino sphere might
suddenly cease during the Kelvin-Helmholtz cooling phase because of the black
hole formation. It is interesting to explore observable consequences of such a
neutrino flux truncation. Arguments have recently been given in the literature
that even the neutrino mass may be determined from the time delay of deformed
neutrino energy spectrum after the cease of neutrino ejection (neutrino cutoff
effect). Here, we study the expected theoretical response of the r-process
nucleosynthesis to the neutrino cutoff effect in order to look for another
independent signature of this phenomenon. We found a sensitive response of the
r-process yield if the neutrino cutoff occurs after the critical time when the
expanding materials in the neutrino-driven wind drop out of the Nuclear
Statistical Equilibrium (NSE). The r-process nucleosynthesis yields change
maximally if the cutoff occurs during the r-process. Using this result,
connected with future detection of the time-variation of SN neutrino spectrum,
we are able to identify when the black hole formation occurs in the course of
SN collapse.
","[{""version"":""v1"",""created"":""Sun, 5 Jun 2005 08:25:21 GMT""},{""version"":""v2"",""created"":""Sat, 2 Jul 2005 11:26:49 GMT""},{""version"":""v3"",""created"":""Sat, 9 Jul 2005 07:20:38 GMT""},{""version"":""v4"",""created"":""Sat, 30 Jul 2005 04:36:17 GMT""}]","2009-11-11"
"astro-ph/0506101","Johan Peter Uldall Fynbo","J. P. U. Fynbo, J. Gorosabel, A. Smette, A. Fruchter, J. Hjorth, K.
  Pedersen, A. Levan, I. Burud, K. Sahu, P. M. Vreeswijk, E. Bergeron, C.
  Kouveliotou, N. Tanvir, S. E. Thorsett, R. A. M. J. Wijers, J. M. Castro
  Cer\'on, A. Castro-Tirado, P. Garnavich, S. T. Holland, P. Jakobsson, P.
  Moller, P. Nugent, E. Pian, J. Rhoads, B. Thomsen, D. Watson, S. Woosley","On the Afterglow and Host Galaxy of GRB021004: A Comprehensive Study
  with the Hubble Space Telescope","8 figures, to appear in the Astrophysical Journal","Astrophys.J.633:317-327,2005","10.1086/432633",,"astro-ph",,"  (Abridged) We report on HST observations of the late-time afterglow and host
galaxy of GRB021004 (z=2.33). Although this GRB is one of the best observed so
far, there is substantial disagreement between different interpretations of
data sets on this burst in the literature. We have observed the field of
GRB021004 with the HST at multiple epochs from 3 days until almost 10 months
after the burst. With STIS spectroscopy we cover the spectral region 600-1700AA
in the restframe. From the limit on the flux recovery bluewards of the
Lyman-limit we constrain the HI column density to be above 1x10^18 cm-2 Based
on ACS and NICMOS imaging we find that the afterglow evolved achromatically
within the errors. The color changes observed by other authors during the first
four days must be related to a stochastic phenomenon superimposed on an
afterglow component with a constant spectral shape. This achromaticity implies
that the cooling break has remained on the blue side of the optical part of the
spectrum for at least two weeks after the burst. The optical-to-X-ray slope is
consistent with being the same at 1.4 and 52.4 days after the burst. This
indicates that the cooling frequency is constant and hence, according to
fireball models, that the circumburst medium has a constant density profile.
The late-time slope of the lightcurve is in the range alpha_2 = 1.8-1.9, and is
inconsistent with a single power-law. This could be due to a late-time
flattening caused by the transition to non-relativistic expansion or due to
excess emission (a lightcurve `bump') 7 days after burst. The host is a
starburst galaxy with no evidence for dust and with strong Ly-alpha emission.
The afterglow was located very close (~100 pc) to the center of the host
suggesting that the progenitor was associated with a circumnuclear starburst.
","[{""version"":""v1"",""created"":""Sun, 5 Jun 2005 15:36:40 GMT""}]","2008-11-26"
"cond-mat/0506107","Zaleski","F.M.Muntyanu, A.Gilewski, K.Nenkov, J.Warchulska, A.J.Zaleski","Magnetic Moment Peculiarities in Bismuth Bicrystals with Large
  Crystallite Disorientation Angles","10 pages, 3 figures",,,,"cond-mat.supr-con",,"  Magnetization measurements prove that the magnetic properties of large-angle
(theta > 30o) bismuth bicrystals with crystallite interface (CI) of twisting
type essentially differ from well-known results on single-crystalline
specimens. Two superconducting phases were observed at CI of bicrystals
(ordinary rhombohedral Bi is not a superconductor). It was shown that one of
them (phase with Tc ~ 8,4 K) is localized in central part of crystallite
interface. It was also found that in adjacent layers (width of layer d2 ~ 20
nm) of CI the proximity effect is significant.
","[{""version"":""v1"",""created"":""Sat, 4 Jun 2005 21:24:54 GMT""}]","2007-05-23"
"cond-mat/0506108","Andrea Trombettoni","A. Trombettoni, A. Smerzi, and P. Sodano","On Defect-Mediated Transitions in Bosonic Planar Lattices",,"Laser Physics 15, 669 (2005)",,,"cond-mat.stat-mech",,"  We discuss the finite-temperature properties of Bose-Einstein condensates
loaded on a 2D optical lattice. In an experimentally attainable range of
parameters the system is described by the XY model, which undergoes a
Berezinskii-Kosterlitz-Thouless (BKT) transition driven by the vortex pair
unbinding. The interference pattern of the expanding condensates provides the
experimental signature of the BKT transition: near the critical temperature,
the k=0 component of the momentum distribution sharply decreases.
","[{""version"":""v1"",""created"":""Sat, 4 Jun 2005 22:34:32 GMT""}]","2007-05-23"
"cond-mat/0506109","Chang Qing Sun Dr","W. T. Zheng and Chang Q. Sun","On the unusual behavior of nitride compounds","21 pages, Review, 12 figures, abd 76 references",,,,"cond-mat.mtrl-sci",,"  This report presents consistent insight into the mechanism behind the unusual
behavior of nitride compounds from the perspective of tetrahedron bond
formation and its consequence on valence density of states. An extension of the
recent bond-band-barrier (BBB) correlation mechanism for oxidation [Sun CQ,
Prog Mater Sci 2003;48:521-685] to the electronic process of nitridation has
led to the essentiality of sp-orbital hybridization for a nitrogen atom upon
interacting with atoms in solid phase of arbitrary less-electronegative
element. In the process of nitridation, a nitrogen atom forms a
quasi-tetrahedron with surrounding host atoms through bonding and nonbonding
interaction associated with production of electronic holes and antibonding
dipoles, which add corresponding density of states to the valence band of the
host. It is suggested that the valance alteration of the system takes the
responsibility for the blue shift in photoluminescence, lowered work function
for cold cathode field emission, corrosion and wear resistant, high elasticity,
and magnetic modulation as well.
","[{""version"":""v1"",""created"":""Sun, 5 Jun 2005 01:17:39 GMT""}]","2007-05-23"
