"astro-ph/0510535","Jin He","Jin He","Rational Galaxy Structure and its Disturbance","""Conclusion"" Section added; 6 Figures, totally 24 pages","Electron.J.Theor.Phys.7:361-372,2010",,,"astro-ph physics.gen-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Why is there little dust in elliptical galaxies? Firstly, the universe is
rational and the rationality is the proportional density distribution in any
independent galaxy. Proportion means that the density distribution of stars is
orderly. For example, there are four giants standing in array. Their heights
are A, B, C, D, respectively, and A, B stand in the first row from left to
right, C, D in the second row from left to right. Proportion requires that A
divided by C be equal to B divided by D. Rational structures are smooth 2- (or
3-) dimensional structures, which are either circularly (spherically) symmetric
with respect to the center point, or bilaterally symmetric. Secondly, spiral
galaxy arms are linearly shaped, which are neither circularly symmetric nor
bilaterally symmetric. Therefore, arms are not rational structures. Arm
patterns exist only in spiral galaxies and they are weak compared with the main
disk structure. Therefore, the presence of arm structure is the disturbance to
the rational structure. Because arm patterns exist only in spiral galaxies and
only spiral galaxies present dust, I come to the critical answer to the above
question: any disturbance to rational structure produces cosmic dust. From now
on we call the disturbance to rational structure the cosmic impulse. Therefore,
the universe is originated not only rationally but also impulsively.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 19:56:00 GMT""},{""version"":""v2"",""created"":""Wed, 19 Oct 2005 20:01:20 GMT""},{""version"":""v3"",""created"":""Thu, 16 Feb 2006 15:59:15 GMT""},{""version"":""v4"",""created"":""Thu, 15 May 2008 20:07:43 GMT""},{""version"":""v5"",""created"":""Thu, 7 Aug 2008 04:34:37 GMT""},{""version"":""v6"",""created"":""Fri, 29 Jan 2010 15:43:04 GMT""},{""version"":""v7"",""created"":""Tue, 30 Mar 2010 02:16:33 GMT""},{""version"":""v8"",""created"":""Wed, 18 Aug 2010 16:04:52 GMT""}]","2014-10-13"
"astro-ph/0510537","Floyd Stecker","F.W. Stecker (NASA/GSFC)","A Note on High Energy Neutrinos from AGN Cores","Accepted for publication in Physical Review D","Phys.Rev.D72:107301,2005","10.1103/PhysRevD.72.107301",,"astro-ph hep-ph",,"  Taking into account new physics and astronomy developments I give a revised
high energy neutrino flux for the AGN core model of Stecker, Done, Salamon and
Sommers
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 19:14:24 GMT""},{""version"":""v2"",""created"":""Wed, 26 Oct 2005 14:44:56 GMT""}]","2009-11-13"
"astro-ph/0510574","Avi Loeb","Idan Ginsburg, Abraham Loeb (Harvard U.)","The Fate of Former Companions to Hypervelocity Stars Originating at the
  Galactic Center","Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.368:221-225,2006","10.1111/j.1365-2966.2006.10091.x",,"astro-ph",,"  The hypervelocity star SDSS J090745.0+024507 in the halo of the Milky Way
galaxy (Brown et al. 2005) most likely originated from the breakup of a binary
star system by the central black hole, SgrA* (Hills 1988). We examine the fate
of former binary companions to similar hypervelocity stars (HVSs) by simulating
600 different binary orbits around SgrA* with a direct N-body integration code.
For some orbital parameters, the binary breakup process leads to HVSs with
ejection velocities that are almost an order of magnitude larger than the
velocity observed for SDSS J090745.0+024507. The former companion stars
populate highly eccentric orbits which resemble the observed orbits for some of
the stars nearest to SgrA*.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 19:56:27 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jan 2006 20:44:54 GMT""}]","2009-11-13"
"astro-ph/0510578","Anthony Piro","Anthony L. Piro (UCSB)","Shear Waves and Giant Flare Oscillations from Soft Gamma-Ray Repeaters","Submitted for publication in The Astrophysical Journal Letters, 4
  pages, 3 figures","Astrophys.J.634:L153-L156,2005","10.1086/499049",,"astro-ph",,"  Recent observations of giant flares from soft gamma-ray repeaters have
exhibited multiple 25-150 Hz oscillations. Frequencies in this range are
expected for toroidal shear waves in a neutron star (NS) crust, lending support
to Duncan's proposal that such modes may be excited in these events. This
motivates a reassessment of how these waves reflect the NS structure and what
role the magnetic field plays in setting their frequencies. We calculate the
eigenfrequencies and eigenfunctions of toroidal oscillations for a realistic NS
crust, including a vertical magnetic field at magnetar strengths
($B\sim10^{14}-10^{15} {\rm G}$). The lowest radial-order mode has a
red-shifted frequency of $\approx28 {\rm Hz}[l(l+1)/6]^{1/2}$, with the
prefactor depending on the NS's mass and radius, and its crust's depth and
composition. This mode is independent of the magnetic field for
$B\lesssim4\times10^{15} {\rm G}$, a limit much greater than the inferred
dipole magnetic fields for these objects. Though this is a good fit to the
observed oscillations, only rather loose constraints can be made for the NSs'
properties because all that can be fit is this prefactor (a single parameter).
Modes with shorter radial wavelengths are more sensitive to the magnetic field
starting at $B\sim2\times10^{14} {\rm G}$ and have higher frequencies (600-2000
Hz). The discovery of these modes, coupled with the oscillations observed thus
far, would provide a powerful probe to the NS crustal structure.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 17:18:24 GMT""}]","2009-11-13"
"astro-ph/0510579","Adam J. Burgasser","Adam J. Burgasser (MIT) and Michael W. McElwain (UCLA)","Resolved Spectroscopy of M Dwarf/L Dwarf Binaries. I. DENIS
  J220002.05-303832.9AB","11 pages, 3 figures, accepted for publication in Astronomical Journal",,"10.1086/499042",,"astro-ph",,"  We present the discovery of the common proper motion M9 + L0 binary DENIS
J220002.05-303832.9AB, identified serendipitously with the SpeX near infrared
imager/spectrograph. Spectral types are derived from resolved near infrared
spectroscopy of the well-separated (1""09+/-0""06) components and comparison to
equivalent data for M and L dwarf spectral standards. Physical association is
deduced from the angular proximity of the sources, their common proper motion
and their similar spectrophotometric distances (35+/-2 pc). The estimated
distance of this pair implies a projected separation of 38+/-3 AU, wider than
typical separations for other M dwarf/L dwarf binaries, but consistent with the
maximum separation/total system mass trend previously identified by Burgasser
et al. (2003). We discuss the DENIS 2200-3038AB system in context with other
low mass binaries, and its role in studying dust formation processes and
activity trends across the transition between the M and L dwarf spectral
classes.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 17:18:36 GMT""}]","2009-11-11"
"astro-ph/0510580","Adam J. Burgasser","Adam J. Burgasser (MIT), I. Neill Reid (STScI), S. K. Leggett (Joint
  Astronomy Centre), J. Davy Kirkpatrick (Caltech/IPAC), James Liebert (U.
  Arizona) and Adam Burrows (U. Arizona)","SDSS J042348.57-041403.5AB: A Brown Dwarf Binary Straddling the L/T
  Transition","6 pages, 2 figures, accepted for publication in Astrophysical Journal
  Letters","Astrophys.J.634:L177-L180,2005","10.1086/498866",,"astro-ph",,"  We present the discovery of SDSS J042348.57-041403.5 as a closely-separated
(0""16) brown dwarf binary, resolved by the Hubble Space Telescope Near Infrared
Camera and Multi-Object Spectrometer. Physical association is deduced from the
angular proximity of the components and constraints on their common proper
motion. SDSS0423-0414AB appears to be composed of two brown dwarfs with
spectral types L6+/-1 and T2+/-1. Hence, this system straddles the transition
between L dwarfs and T dwarfs, a unique evolutionary phase of brown dwarfs
characterized by substantial shifts in spectral morphology over an apparently
narrow effective temperature range. Binarity explains a number of unusual
properties of SDSS 0423-0414, including its overluminosity and high effective
temperature compared to other early-type T dwarfs, and possibly its conflicting
spectral classifications (L7.5 in the optical, T0 in the near infrared). The
relatively short estimated orbital period of this system (~15-20 yr) and the
presence of Li I absorption in its combined light spectrum make it an ideal
target for both resolved spectroscopy and dynamical mass measurements. SDSS
0423-0414AB joins a growing list of late-L/early-T dwarf binaries, the high
percentage of which (~50%) may provide a natural explanation for observed
peculiarities across the L/T transition.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 17:37:42 GMT""}]","2009-11-13"
"astro-ph/0510581","Rosina Iping","Rosina C. Iping, George Sonneborn, Theodore R. Gull, Derck L. Massa
  and D. John Hillier","Detection of a Hot Binary Companion of $\eta$ Carinae",,"Astrophys.J.633:L37-L40,2005","10.1086/498268",,"astro-ph",,"  We report the detection of a hot companion of $\eta$ Carinae using high
resolution spectra (905 - 1180 \AA) obtained with the Far Ultraviolet
Spectroscopic Explorer (\fuse) satellite. Observations were obtained at two
epochs of the 2024-day orbit: 2003 June during ingress to the 2003.5 X-ray
eclipse and 2004 April several months after egress. These data show that
essentially all the far-UV flux from \etacar shortward of \lya disappeared at
least two days before the start of the X-ray eclipse (2003 June 29), implying
that the hot companion, \etaB, was also eclipsed by the dense wind or extended
atmosphere of \etaA. Analysis of the far-UV spectrum shows that \etaB is a
luminous hot star. The \nii \wll1084-1086 emission feature suggests that it may
be nitrogen-rich. The observed far-UV flux levels and spectral features,
combined with the timing of their disappearance, is consistent with \etacar\
being a massive binary system.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 18:08:25 GMT""}]","2009-11-13"
"astro-ph/0510582","Steen Hannestad","Steen Hannestad (University of Aarhus)","New constraint on the cosmological background of relativistic particles","10 pages, 3 figures, references added","JCAP 0601:001,2006","10.1088/1475-7516/2006/01/001",,"astro-ph",,"  We have derived new bounds on the relativistic energy density in the Universe
from cosmic microwave background (CMB), large scale structure (LSS), and type
Ia supernova (SNI-a) observations. In terms of the effective number of neutrino
species a bound of N_\nu = 4.2^{+1.2}_{-1.7} is derived at 95% confidence. This
bound is significantly stronger than previous determinations, mainly due to
inclusion of new CMB and SNI-a observations. The absence of a cosmological
neutrino background (N_\nu = 0) is now excluded at 5.4 \sigma. The value of
N_\nu is compatible with the value derived from big bang nucleosynthesis
considerations, marking one of the most remarkable successes of the standard
cosmological model. In terms of the cosmological helium abundance, the CMB,
LSS, and SNI-a observations predict a value of 0.240 < Y < 0.281.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 19:53:56 GMT""},{""version"":""v2"",""created"":""Tue, 25 Oct 2005 12:48:53 GMT""}]","2009-11-13"
"astro-ph/0510584","Tsvi Piran","Tsvi Piran and Nir J. Shaviv","The Origin of the Binary Pulsar J0737-3039","Invited talk at the conference ""Inflating Horizon of Particle
  Astrophysics and Cosmology"", June 2005, Tokyo, To appear in the proceedings",,,,"astro-ph",,"  It is generally accepted that neutron stars form in core collapse events that
are accompanied by a supernovae (types II or Ib or Ic). Typical progenitors
are, therefore, larger than $\sim 2.1 \Ms$. We suggest \cite{PS04,PS05} that
the binary pulsar J0737-3039 provides evidence for a new formation channel:
collapse of a light progenitor. This binary pulsar J0737-3039 has several
remarkable features including among others: a very tight orbit with a Keplerian
velocity of ~600km/sec, a low eccentricity, and a location ~50pc from the
Galactic plane implying that the system has, at high likelihood, a small
(compared to Keplerian) center of mass velocity. A significant mass loss during
the formation of the second pulsar would have lead either to an eccentric orbit
or to a large center of mass velocity or to both. Therefore, we can set a
strong upper limit on the progenitor's mass. A progenitor more massive than
1.9$\Ms$ is ruled out (at 97% confidence). The kinematically favored option is
of a progenitor mass around 1.45$\Ms$. Recent evidence for a rather low
velocity proper motion supports this prediction and decreases the likelihood of
the standard (high mass progenitor) scenario. Lack of variations in the pulses'
profiles (which indicate no significant geodetic precession) provides further
support for the no kick and low progenitor mass formation scenario.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 20:04:07 GMT""}]","2007-05-23"
"astro-ph/0510585","John J. Cowan","J. E. Lawler, E. A. Den Hartog, C. Sneden and J. J. Cowan","Sm Transition Probabilities and Abundances","119 pages, 13 figures, 5 tables; To appear in the Astrophysical
  Journal Supplement",,,,"astro-ph",,"  Radiative lifetimes, accurate to +/- 5%, have been measured for 212
odd-parity levels of Sm II using laser-induced fluorescence. The lifetimes are
combined with branching fractions measured using Fourier-transform spectrometry
to determine transition probabilities for more than 900 lines of Sm II. This
work is the largest-scale laboratory study to date of Sm II transition
probabilities using modern methods. This improved data set has been used to
determine a new solar photospheric Sm abundance, log epsilon = 1.00 +/- 0.03,
from 26 lines. The spectra of three very metal-poor, neutron-capture-rich stars
also have been analyzed, employing between 55 and 72 Sm II lines per star. The
abundance ratios of Sm relative to other rare earth elements in these stars are
in agreement, and are consistent with ratios expected from rapid
neutron-capture nucleosynthesis (the r-process).
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 20:25:32 GMT""}]","2007-05-23"
"astro-ph/0510586","Juan Manuel Borrero","J.M. Borrero, S.K. Solanki, A. Lagg, H. Socas-Navarro, B. Lites","On the fine structure of the sunspot penumbrae. III The vertical
  extension of penumbral filaments","submitted to Astronomy and Astrophysics",,"10.1051/0004-6361:20054378",,"astro-ph",,"  In this paper we study the fine structure of the penumbra as inferred from
the uncombed model (flux tube embedded in a magnetic surrounding) when applied
to penumbral spectropolarimetric data from the neutral iron lines at 6300 \AA.
The inversion infers very similar radial dependences in the physical quantities
(LOS velocity, magnetic field strength etc) as those obtained from the
inversion of the Fe I 1.56 $\mu$m lines. In addition, the large Stokes $V$ area
asymmetry exhibited by the visible lines helps to constrain the size of the
penumbral flux tubes. As we demonstrate here, the uncombed model is able to
reproduce the area asymmetry with striking accuracy, returning flux tubes as
thick as 100-300 kilometers in the vertical direction, in good agreement with
previous investigations.
","[{""version"":""v1"",""created"":""Wed, 19 Oct 2005 20:07:22 GMT""}]","2009-11-11"
