"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"astro-ph/0511415","Eric Linder","Eric V. Linder","On Oscillating Dark Energy","5 pages, 3 figures","Astropart.Phys.25:167-171,2006","10.1016/j.astropartphys.2005.12.003",,"astro-ph",,"  Distance-redshift data can impose strong constraints on dark energy models
even when the equation of state is oscillatory. Despite the double integral
dependence of the distance on the equation of state, precision measurement of
the distance-redshift relation for z=0-2 is more incisive than the linear
growth factor, CMB last scattering surface distance, and the age of the
universe in distinguishing oscillatory behavior from an average behavior. While
oscillating models might help solve the coincidence problem (since acceleration
occurs periodically), next generation observations will strongly constrain such
possibilities.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 18:01:27 GMT""}]","2009-11-13"
"astro-ph/0511421","Robert Quimby","R. M. Quimby, E. S. Rykoff, S. A. Yost, F. Aharonian, C. W. Akerlof,
  K. Alatalo, M. C. B. Ashley, E. Goegues, T. Guever, D. Horns, R. L. Kehoe,
  Ue. Kiziloglu, T. A. McKay, M. Oezel, A. Phillips, B. E. Schaefer, D. A.
  Smith, H. F. Swan, W. T. Vestrand, J. C. Wheeler, and J. Wren","Early-Time Observations of the GRB 050319 Optical Transient","14 pages including 2 figures; Accepted for publication in ApJ","Astrophys.J.640:402-406,2006","10.1086/499803",,"astro-ph",,"  We present the unfiltered ROTSE-III light curve of the optical transient
associated with GRB 050319 beginning 4 s after the cessation of gamma-ray
activity. We fit a power-law function to the data using the revised trigger
time given by Chincarini et al. (2005), and a smoothly broken power-law to the
data using the original trigger disseminated through the GCN notices. Including
the RAPTOR data from Wozniak et al. (2005), the best fit power-law indices are
alpha=-0.854 (+/- 0.014) for the single power-law and alpha_1=-0.364 (+/-
0.020), alpha_2= -0.881 (+/- 0.030), with a break at t_b = 418 (+/- 30) s for
the smoothly broken fit. We discuss the fit results with emphasis placed on the
importance of knowing the true start time of the optical transient for this
multi-peaked burst. As Swift continues to provide prompt GRB locations, it
becomes more important to answer the question, ""when does the afterglow begin""
to correctly interpret the light curves.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:34:12 GMT""}]","2009-11-13"
"astro-ph/0511424","Jingwen Wu","Jingwen Wu, Neal J. Evans II, Yu Gao, Philip M. Solomon, Yancy L.
  Shirley, Paul A. Vanden Bout","Connecting Dense Gas Tracers of Star Formation in our Galaxy to High-z
  Star Formation","10 pages, 2 figures. In press for ApJ Letters","Astrophys.J.635:L173-L176,2005","10.1086/499623",,"astro-ph",,"  Observations have revealed prodigious amounts of star formation in starburst
galaxies as traced by dust and molecular emission, even at large redshifts.
Recent work shows that for both nearby spiral galaxies and distant starbursts,
the global star formation rate, as indicated by the infrared luminosity, has a
tight and almost linear correlation with the amount of dense gas as traced by
the luminosity of HCN. Our surveys of Galactic dense cores in HCN 1-0 emission
show that this correlation continues to a much smaller scale, with nearly the
same ratio of infrared luminosity to HCN luminosity found over 7-8 orders of
magnitude in L_IR, with a lower cutoff around 10^{4.5} L_sun of infrared
luminosity. The linear correlation suggests that we may understand distant star
formation in terms of the known properties of local star-forming regions. Both
the correlation and the luminosity cutoff can be explained if the basic unit of
star formation in galaxies is a dense core, similar to those studied in our
Galaxy.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 20:01:49 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 18:55:31 GMT""},{""version"":""v3"",""created"":""Tue, 6 Dec 2005 00:04:54 GMT""}]","2009-11-13"
"astro-ph/0511444","Revnivtsev Mikhail","M.Revnivtsev (1,2) S.Sazonov (1,2), E.Churazov (1,2), S.Trudolyubov
  (3,2) (1 - MPA, Garching, Germany, 2 - IKI, Moscow, Russia, 3 - UCR,
  Riverside, USA)","Identification of four RXTE Slew Survey sources with nearby luminous
  active galactic nuclei","4 pages, 2 figures. Sibmitted to Astronomy and Astrophysics Letters",,"10.1051/0004-6361:200500233",,"astro-ph",,"  Based on RXTE scans and observations with the SWIFT/XRT telescope and
INTEGRAL observatory, we report the identification of four X-ray sources
discovered during the RXTE Slew Survey of the |b|>10deg sky with nearby (z ~
0.017-0.098) luminous (log L_2-10keV ~ 42.7-44 erg/s) active galactic nuclei.
Two of the objects exhibit heavily intrinsically absorbed X-ray spectra
(NHL~10^23 cm^-2).
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:23:48 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 08:56:53 GMT""}]","2009-11-11"
"astro-ph/0511445","Simona Ghizzardi","S. Ghizzardi, S. Molendi, A. Leccardi, M. Rossetti (IASF-Milano/INAF;
  Italy)","Searching for Sharp Surface Brightness Discontinuities: a Systematic
  Study of Cold Fronts in Galaxy Clusters","6 pages, 9 figures. High resolution figures are available at
  http://www.iasf-milano.inaf.it/~simona/pub/papers/El_Escorial_2005 To appear
  in Proc. ""The X-ray Universe 2005"", San Lorenzo de El Escorial, Spain,
  September 2005",,,,"astro-ph",,"  We perform a systematic search of cold fronts in a sample of 62 clusters
observed with XMM-Newton with redshift ranging from 0.01 to 0.3. We detect one
or more cold fronts in 21 (34%) of our objects. A large fraction (87.5%) of
nearby clusters 0.01 < z < 0.04 host a cold front while only 20% of the distant
clusters, mostly merging clusters, do so. The absence of sharp surface
brightness discontinuites in distant cool cores is most likely a consequence of
the insufficent spatial resolution of our images. Some nearby cool core
clusters show a dislocation between the surface brightness and the pressure
peak. This implies that the cool central gas is displaced from the bottom of
the gravitational potential well and likely sloshing.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:44:41 GMT""}]","2007-05-23"
"astro-ph/0511446","Georges Meynet","Georges Meynet, Raphael Hirschi, Sylvia Ekstrom, and Andre Maeder","Evolution of rotating stars at very low metallicity","12 pages, 11 figures, in Stellar Evolution at Low Metallicity: Mass
  Loss, Explosions, Cosmology, Lamers, Langer, Nugis, Annuk (eds.), ASP Conf.
  Ser",,,,"astro-ph",,"  At very low metallicity, the effects of differential rotation have a more
important impact on the evolution of stars than at high metallicity. Rotational
mixing leads to the production of great quantities of helium and of primary
$^{14}$N by massive stars. Rotation induces important mass loss and allows
stars to locally strongly enrich the interstellar medium in CNO elements. Stars
formed from interstellar clouds enriched by the winds of fast rotating massive
stars would present surface abundances similar to those of C-rich extremely
metal-poor stars. C-rich stars can also be formed by mass accretion in a binary
system where the primary would be a fast rotating intermediate mass star in the
early-AGB phase. Fast rotation may also lead to the formation of collapsars
even at very low metallicity and make the most massive stars avoid the pair
instability.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:15:28 GMT""}]","2007-05-23"
"astro-ph/0511447","Manolis K. Georgoulis","Manolis K. Georgoulis, Barry J. LaBonte","Reconstruction of an Inductive Velocity Field Vector from Doppler
  Motions and a Pair of Solar Vector Magnetograms","48 pages, 13 figures ApJ, in press (high-resolution PDF version of
  the manuscript available at
  http://sd-www.jhuapl.edu/FlareGenesis/Team/Manolis/papers/velocity_paper.pdf)","Astrophys.J.636:475-495,2005","10.1086/497978",,"astro-ph",,"  We outline a general methodology to infer the inductive velocity field vector
in solar active regions. For the first time, both the field-aligned and the
cross-field velocity components are reconstructed. The cross-field velocity
solution accounts for the changes of the vertical magnetic field seen between a
pair of successive active-region vector magnetograms via the ideal induction
equation. The field-aligned velocity is obtained using the Doppler velocity and
the calculated cross-field velocity. Solving the ideal induction equation in
vector magnetograms measured at a given altitude in the solar atmosphere is an
under-determined problem. In response, our general formalism allows the use of
any additional constraint for the inductive cross-field velocity to enforce a
unique solution in the induction equation. As a result, our methodology can
give rise to new velocity solutions besides the one presented here. To
constrain the induction equation, we use a special case of the minimum
structure approximation that was introduced in previous studies and is already
employed here to resolve the $180^o$-ambiguity in the input vector
magnetograms. We reconstruct the inductive velocity for three active regions,
including NOAA AR 8210 for which previous results exist. Our solution
believably reproduces the horizontal flow patterns in the studied active
regions but breaks down in cases of localized rapid magnetic flux emergence or
submergence. Alternative approximations and constraints are possible and can be
accommodated into our general formalism.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:18:02 GMT""}]","2009-11-13"
"astro-ph/0511448","Stefan Schmeja","S. Schmeja, R. S. Klessen (Astrophysikalisches Institut Potsdam)","Evolving structures of star-forming clusters","11 pages, 10 figures, accepted by A&A; slightly modified according to
  the referee report","Astron.Astrophys. 449 (2006) 151","10.1051/0004-6361:20054464",,"astro-ph",,"  Understanding the formation and evolution of young star clusters requires
quantitative statistical measures of their structure. We investigate the
structures of observed and modelled star-forming clusters. By considering the
different evolutionary classes in the observations and the temporal evolution
in models of gravoturbulent fragmentation, we study the temporal evolution of
the cluster structures. We apply different statistical methods, in particular
the normalised mean correlation length and the minimum spanning tree technique.
We refine the normalisation of the clustering parameters by defining the area
using the normalised convex hull of the objects and investigate the effect of
two-dimensional projection of three-dimensional clusters. We introduce a new
measure $\xi$ for the elongation of a cluster. It is defined as the ratio of
the cluster radius determined by an enclosing circle to the cluster radius
derived from the normalised convex hull. The mean separation of young stars
increases with the evolutionary class, reflecting the expansion of the cluster.
The clustering parameters of the model clusters correspond in many cases well
to those from observed ones, especially when the $\xi$ values are similar. No
correlation of the clustering parameters with the turbulent environment of the
molecular cloud is found, indicating that possible influences of the
environment on the clustering behaviour are quickly smoothed out by the stellar
velocity dispersion. The temporal evolution of the clustering parameters shows
that the star cluster builds up from several subclusters and evolves to a more
centrally concentrated cluster, while the cluster expands slower than new stars
are formed.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:51:05 GMT""},{""version"":""v2"",""created"":""Thu, 1 Dec 2005 18:23:33 GMT""}]","2007-05-23"
"astro-ph/0511449","Manolis K. Georgoulis","Manolis K. Georgoulis","Turbulence in the Solar Atmosphere: Manifestations and Diagnostics via
  Solar Image Processing","26 pages, 7 figures","Solar Phys. 228 (2005) 5","10.1007/s11207-005-2513-4",,"astro-ph",,"  Intermittent magnetohydrodynamical turbulence is most likely at work in the
magnetized solar atmosphere. As a result, an array of scaling and multi-scaling
image-processing techniques can be used to measure the expected
self-organization of solar magnetic fields. While these techniques advance our
understanding of the physical system at work, it is unclear whether they can be
used to predict solar eruptions, thus obtaining a practical significance for
space weather. We address part of this problem by focusing on solar active
regions and by investigating the usefulness of scaling and multi-scaling
image-processing techniques in solar flare prediction. Since solar flares
exhibit spatial and temporal intermittency, we suggest that they are the
products of instabilities subject to a critical threshold in a turbulent
magnetic configuration. The identification of this threshold in scaling and
multi-scaling spectra would then contribute meaningfully to the prediction of
solar flares. We find that the fractal dimension of solar magnetic fields and
their multi-fractal spectrum of generalized correlation dimensions do not have
significant predictive ability. The respective multi-fractal structure
functions and their inertial-range scaling exponents, however, probably provide
some statistical distinguishing features between flaring and non-flaring active
regions. More importantly, the temporal evolution of the above scaling
exponents in flaring active regions probably shows a distinct behavior starting
a few hours prior to a flare and therefore this temporal behavior may be
practically useful in flare prediction. The results of this study need to be
validated by more comprehensive works over a large number of solar active
regions.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:30 GMT""}]","2007-05-23"
"astro-ph/0511450","Sebasti\'an Nuza","S. E. Nuza (IAFE), P. B. Tissera (IAFE), L. J. Pellizza (CEA), D. G.
  Lambas (OAC), C. Scannapieco (IAFE), M. E. De Rossi (IAFE)","Study of the relationship between the gamma ray bursts and their host
  galaxies","Minor changes after referee report. To appear in the 48th Bulletin of
  the Argentine Astronomical Society (BAAA 48, 2005). 4 pages, baaa-eng.sty","Bol. Asoc. Argent. Astron. 48 (2005) 459-462",,,"astro-ph",,"  Gamma ray bursts (GRBs) belong to the most energetic events in the Universe.
Recently, the extragalactic nature of these sources has been confirmed with the
discovery of several host galaxies (HGs) and the measurement of their
redshifts. To explain the origin of GRBs various models have been proposed,
among which the coalescence of compact objects and the ""collapsar"" scenarios
are the most representative, being the collapsar model one of the most accepted
to explain the long duration GRBs. A natural consequence of this model is that
the GRBs would trace the star formation rate (SFR) of their HGs. In this
contributed paper we present preliminary results of the development of a
Montecarlo-based code for collapsar event formation which is coupled to
chemical-cosmological simulations aiming at studying the properties of HGs in a
hierarchical scenario.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:29:15 GMT""},{""version"":""v2"",""created"":""Fri, 5 May 2006 14:33:49 GMT""}]","2007-05-23"
