"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"astro-ph/0511795","Giancarlo Ghirlanda","G. Ghirlanda (1), M. Magliocchetti (2), G. Ghisellini (1), L. Guzzo
  (1) ((1)INAF, Osservatorio Astronomico di Brera; (2)SISSA/ISAS, Trieste)","On the correlation of Short Gamma--Ray Bursts and Clusters of galaxies","5 pages, 5 figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.Lett.368:L20-L24,2006","10.1111/j.1745-3933.2006.00147.x",,"astro-ph",,"  We cross correlate Gamma--Ray Bursts and X--Ray selected clusters of galaxies
at z\leq0.45. We find a positive 2\sigma signal for the angular
cross--correlation function w_{bc}(\theta) on scales \theta\leq 3 deg between
short GRBs and clusters. Conversely, no correlation is found between clusters
and the population of long GRBs. The comparison with the cluster
autocorrelation function shows that short GRBs do not trace the cluster
distribution as not all short GRBs are found in clusters. A higher signal in
w_{bc}(\theta) is found if we only consider the cluster population up to z=0.1.
By comparing the short burst autocorrelation function with model predictions we
then constrain short bursts to mostly originate within \sim 270 Mpc (i.e. z\leq
0.06). Our analysis also reveals that short GRBs are better correlated with
``normal'' galaxies. The double compact object merger model for short GRBs
would associate them preferentially to early--type galaxies but the present
statistics do not allow us to exclude that at least a fraction of these events
might also take place in late--type galaxies, in agreement with recent
evidences.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:44:06 GMT""},{""version"":""v2"",""created"":""Thu, 26 Jan 2006 10:05:33 GMT""}]","2009-11-13"
"astro-ph/0511797","Ralph Kraft","R. P. Kraft, J. Azcona, W. R. Forman, M. J. Hardcastle, C. Jones, and
  S. S. Murray","The Hot Gas Environment of the Radio Galaxy 3C 388: Quenching the
  Accumulation of Cool Gas in a Cluster Core by a Nuclear Outburst","28 pages, 10 figures - accepted for publication in the Astrophysical
  Journal","Astrophys.J.639:753-760,2006","10.1086/499488",,"astro-ph",,"  We present results from a 35 ks {\em Chandra}/ACIS-I observation of the hot
ICM around the FR II radio galaxy 3C 388. 3C 388 resides in a cluster
environment with an ICM temperature of $\sim$3.5 keV. We detect cavities in the
ICM coincident with the radio lobes. The enthalpy of these cavities is
$\sim1.2\times10^{60}$ ergs. The work done on the gas by the inflation of the
lobes is $\sim3\times10^{59}$ ergs, or $\sim$0.87 keV per particle out to the
radius of the lobes. The radiative timescale for gas at the center of the
cluster at the current temperature is a few Gyrs. The gas in the core was
probably cooler and denser before the outburst, so the cooling time was
considerably shorter. We are therefore likely to be witnessing the quenching of
a cluster cooling flow by a radio galaxy outburst. The mechanical power of the
lobes is at least 20 times larger than the radiative losses out to the cooling
radius. Outbursts of similar power with a $\sim$5% duty cycle would be more
than sufficient to continually reheat the cluster core over the Hubble time and
prevent the cooling of any significant amount of gas. The mechanical power of
the outburst is also roughly two orders of magnitude larger than either the
X-ray luminosity of the active nucleus or the radio luminosity of the lobes.
The equipartition pressure of the radio lobes is more than an order of
magnitude lower than that of the ambient medium, indicating that the pressure
of the lobe is dominated by something other than the relativistic electrons
radiating at GHz frequencies.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:39:21 GMT""}]","2009-11-13"
"astro-ph/0511798","Francesca D'Antona","F. D'Antona, P. Ventura, L. Burderi, T. Di Salvo, G. Lavagetto, A.
  Possenti & A. Teodorescu","Radio-ejection and bump-related orbital period gap of millisecond binary
  pulsars","in press on the astrophysical journal","Astrophys.J.640:950-955,2006","10.1086/500109",,"astro-ph",,"  The monotonic increase of the radius of low mass stars during their ascent on
the red giant branch halts when they suffer a temporary contraction. This
occurs when the hydrogen burning shell reaches the discontinuity in hydrogen
content left from the maximum increase in the convective extension, at the time
of the first dredge up, and produces a well known ""bump"" in the luminosity
function of the red giants of globular clusters. If the giant is the mass
losing component in a binary in which mass transfer occurs on the nuclear
evolution time scale, this event produces a temporary stop in the mass
transfer, which we will name ""bump related"" detachment. If the accreting
companion is a neutron star, in which the previous mass transfer has spun up
the pulsar down to millisecond periods, the subsequent mass transfer phase may
be altered by the presence of the energetic pulsar. In fact, the onset of a
radio--ejection phase produces loss of mass and angular momentum from the
sytem. We show that this sequence of events may be at the basis of the shortage
of systems with periods between ~ 20 and 60 days in the distribution of
binaries containing millisecond pulsars. We predict that systems which can be
discovered at periods into the gap should have preferentially either magnetic
moments smaller than ~ 2 x10^{26}Gcm^3, or larger than ~ 4x10^{26}Gcm^3. We
further show that this period gap should not be present in population II.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:18:38 GMT""}]","2009-11-13"
"astro-ph/0511799","Dimitri Alexei Gadotti","Dimitri A. Gadotti (1,2,3) and Ronaldo E. de Souza (1) ((1)
  Universidade de Sao Paulo, (2) Laboratoire d'Astrophysique de Marseille, (3)
  Max-Planck-Institut fur Astrophysik - Garching)","On the Lengths, Colors and Ages of 18 Face-On Bars","Accepted for publication in The Astrophysical Journal Supplement; 30
  pages, 5 tables, 6 figures; version with online-only and high resolution
  figures is available at http://www.mpa-garching.mpg.de/~dimitri/18bars.pdf",,"10.1086/500175",,"astro-ph",,"  Along with a brief analysis we present data obtained from BVRI and Ks images
of a sample of 19 galaxies (18 barred and 1 unbarred) which will be further
explored in a future paper. We measured the lengths and colors of the bars,
created color maps and estimated global color gradients. Applying a method
developed in a companion paper, we could distinguish for 7 galaxies in our
sample those whose bars have been recently formed from the ones with already
evolved bars. We estimated an average difference in the optical colors between
young and evolved bars that may be translated to an age difference of the order
of 10 Gyr, meaning that bars may be, at least in some cases, long standing
structures. Moreover, our results show that, on average, evolved bars are
longer than young bars. This seems to indicate that, during its evolution, a
bar grows longer by capturing stars from the disk, in agreement with recent
numerical and analytical results. Although the statistical significance of
these results is low, and further studies are needed to confirm them, we
discuss the implications from our results on the possibility of bars being a
recurrent phenomenon. We also present isophotal contours for all our images as
well as radial profiles of relevant photometric and geometric parameters.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:39:01 GMT""}]","2009-11-11"
"astro-ph/0511800","Alan Watson","A A Watson","Observations of Ultra-High Energy Cosmic Rays","7 pages and two figures","J.Phys.Conf.Ser.39:365-371,2006","10.1088/1742-6596/39/1/100",,"astro-ph",,"  The status of measurements of the arrival directions, mass composition and
energy spectrum of cosmic rays above 3 x 10^18 eV (3 EeV) is reviewed using
reports presented at the 29th International Cosmic Ray Conference held in Pune,
India, in August 2005. The paper is based on a plenary talk given at the
TAUP2005 meeting in Zaragoza, 10 - 14 September 2005.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:08:06 GMT""}]","2009-11-13"
"astro-ph/0511801","Michaela Kraus","Michaela Kraus, Henny J.G.L.M. Lamers","Ionization structure in the disks and winds of B[e] stars","7 pages, 6 figures, to appear in the proceedings of ""Stars with the
  B[e] phenomenon"", (Eds.) M. Kraus & A.S. Miroshnichenko (ASP conference
  proceedings)",,,,"astro-ph",,"  We investigate the ionization structure in the non-spherical winds and disks
of B[e] stars. Especially the luminous B[e] supergiants seem to have outflowing
disks which are neutral in hydrogen already close to the stellar surface. The
existence of neutral material so close to the central star is surprising and
needs to be investigated in detail. We perform our model calculations mainly in
the equatorial plane, trying to find a plausible scenario that leads to
recombination in the vicinity of the hot stars. Two different approaches are
presented that both result in a hydrogen neutral equatorial region. We
especially focus on the influence of stellar rotation which is known to play a
significant role in shaping non-spherical winds. We show that a rotating star
can have a neutral equatorial wind, even without the need of a density
enhancement due to bi-stability or wind compression, but simply due to
graviational darkening in combination with the known high mass-loss rates of
the B[e] stars and especially the B[e] supergiants.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:56:39 GMT""}]","2007-05-23"
"astro-ph/0511802","Patrick Dineen","Patrick Dineen (1,2), Peter Coles (2) ((1) Imperial College London (2)
  Nottingham)","Multivariate Non-Normality in the WMAP 1st Year Data","15 pages, 24 figures, submitted to MNRAS",,,,"astro-ph",,"  The extraction of cosmological parameters from microwave background
observations relies on specific assumptions about the statistical properties of
the data, in particular that the p-point distributions of temperature
fluctuations are jointly-normal. Using a battery of statistical tests, we
assess the multivariate Gaussian nature of the Wilkinson Microwave Anisotropy
Probe (WMAP) 1st year data. The statistics we use fall into three classes which
test different aspects of joint-normality: the first set assess the normality
of marginal (one-point) distributions using familiar univariate methods; the
second involves statistics that directly assess joint-normality; and the third
explores the evidence of non-linearity in the relationship between variates. We
applied these tests to frequency maps, `foreground-cleaned' assembly maps and
all-sky CMB-only maps. The assembly maps are of particular interest as when
combined with the kp2 mask, we recreate the region used in the computation of
the angular power spectrum. Significant departures from normality were found in
all the maps. In particular, the kurtosis coefficient, D'Agostino's statistic
and bivariate kurtosis calculated from temperature pairs extracted from all the
assembly maps were found to be non-normal at 99% confidence level. We found
that the results were unaffected by the size of the Galactic cut and were
evident on either hemisphere of the CMB sky. The latter suggests that the
non-Gaussianity is not simply related to previous claims of north-south
asymmetry or localized abnormalities detected through wavelet techniques.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 18:57:13 GMT""}]","2007-05-23"
"astro-ph/0511803","Gilles Chabrier","G. Chabrier (Ecole Normale Superieure de Lyon, CRAL), D. Saumon
  (LANL), A. Potekhin (Ioffe Physico-Technical Institute, St Petersburg)","Dense plasmas in astrophysics: from giant planets to neutron stars","Invited Review, Strongly Coupled Coulomb Systems, Moscow June 2005;
  to appear in Journal of Physics A","J.Phys.A39:4411-4420,2006","10.1088/0305-4470/39/17/S16",,"astro-ph",,"  We briefly examine the properties of dense plasmas characteristic of the
interior of giant planets and the atmospheres of neutron stars. Special
attention is devoted to the equation of state of hydrogen and helium at high
density and to the effect of magnetic fields on the properties of dense matter.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 19:10:15 GMT""}]","2009-11-11"
"astro-ph/0511804","Barbara Castanheira","B. G. Castanheira, S. O. Kepler, F. Mullally, D. E. Winget, D.
  Koester, B. Voss, S. J. Kleinman, A. Nitta, D. J. Eisenstein, R. Napiwotzki,
  D. Reimers","Discovery of eleven new ZZ Ceti stars","10 pages, 3 figures, to be published in A&A",,"10.1051/0004-6361:20053500",,"astro-ph",,"  We report the discovery of eleven new ZZ Cetis using telescopes at OPD
(Observat\'orio do Pico dos Dias/LNA) in Brazil, the 4.1 m SOAR (Southern
Astrophysical Research) telescope at Cerro Pachon, Chile, and the 2.1 m Otto
Struve telescope at McDonald observatory. The candidates were selected from the
SDSS (Sloan Digital Sky Survey) and SPY (ESO SN Ia progenitor survey), based on
their Teff obtained from optical spectra fitting. This selection criterion
yields the highest success rate of detecting new ZZ Cetis, above 90% in the
Teff range from 12000 to 11000 K. We also report on a DA not observed to vary,
with a Teff placing the star close to the blue edge of the instability strip.
Among our new pulsators, one is a little bit cooler than this star for which
pulsations were not detected. Our observations are an important constraint on
the location of the blue edge of the ZZ Ceti instability strip.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 19:44:24 GMT""}]","2009-11-11"
"astro-ph/0511805","Laura Baudis","Laura Baudis","Dark Matter Searches","13 pages, 8 figures, latex. To appear in the Proceedings of the XXII
  International Symposium on Lepton-Photon Interactions (Uppsala, Sweden, 2005)","Int.J.Mod.Phys.A21:1925-1937,2006","10.1142/S0217751X06032873",,"astro-ph",,"  More than 90% of matter in the Universe could be composed of heavy particles,
which were non-relativistic, or 'cold', when they froze-out from the primordial
soup. I will review current searches for these hypothetical particles, both via
interactions with nuclei in deep underground detectors, and via the observation
of their annihilation products in the Sun, galactic halo and galactic center.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 20:43:57 GMT""}]","2009-11-11"
