"astro-ph/0512553","Patricio S. Letelier","D. Vogt and P.S. Letelier","Comments on ""Perspectives on Galactic Dynamics via General Relativity""","5 pages, 1 figure",,,,"astro-ph gr-qc",,"  In this comment we question some arguments presented in astro-ph/0512048 to
refuse the presence of an singular mass surface layer. In particular, incorrect
expressions are used for the disk's surface mass density. We also point out
that the procedure of removing the descontinuity on the $z=0$ plane with a
region of continuous density gradient generates other two regions of
descontinuities with singular mass surface layers making the model unrealistic.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:40:32 GMT""}]","2007-05-23"
"astro-ph/0512571","Francis Keenan","F P Keenan, K M Aggarwal, D S Bloomfield, A Z Msezane, K G Widing","An investigation of Fe XV emission lines in solar flare spectra","6 pages, 3 figures, Astronomy & Astrophysics, in press",,"10.1051/0004-6361:20054028",,"astro-ph",,"  Previously, large discrepancies have been found between theory and
observation for Fe XV emission line ratios in solar flare spectra covering the
224-327 A wavelength range, obtained by the Naval Research Laboratory's S082A
instrument on board Skylab. These discrepancies have been attributed to either
errors in the adopted atomic data or the presence of additional atomic
processes not included in the modelling, such as fluorescence. However our
analysis of these plus other S082A flare observations (the latter containing Fe
XV transitions between 321-482 A), performed using the most recent Fe XV atomic
physics calculations in conjunction with a CHIANTI synthetic flare spectrum,
indicate that blending of the lines is primarily responsible for the
discrepancies. As a result, most Fe XV lines cannot be employed as electron
density diagnostics for solar flares, at least at the spectral resolution of
S082A and similar instruments (i.e. ~ 0.1 A). An exception is the intensity
ratio I(321.8 A)/I(327.0 A), which appears to provide good estimates of the
electron density at this spectral resolution.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:01:41 GMT""}]","2009-11-11"
"astro-ph/0512572","Abouazza Elmhamdi","A. Elmhamdi, I.J. Danziger, D. Branch, B. Leibundgut, E. Baron, R.P.
  Kirshner","Hydrogen and helium traces in type Ib-c supernovae","26 pages, 37 figures, 2 tables. Published in Astronomy and
  Astrophysics (Volume 450, Page 305); Title changed",,"10.1051/0004-6361:20054366",,"astro-ph",,"  The spectroscopic properties of a selected optical photospheric spectra of
core collapse supernovae (CCSNe) are investigated.Special attention is devoted
to traces of hydrogen at early phases.
  The generated spectra are found to match the observed ones reasonably well,
including a list of only 23 candidate ions. Guided by SN Ib 1990I, the observed
trough near 6300\AA is attributed to H$\alpha$ in almost all Type Ib events,
although in some objects it becomes too weak to be discernible, especially at
later phases. Alternative line identifications are discussed. Differences in
the way hydrogen manifests its presence within CCSNe are highlighted. In Type
Ib SNe, the H$\alpha$ contrast velocity (i.e. line velocity minus the
photospheric velocity) seems to increase with time at early epochs, reaching
values as high as 8000 km s$^{-1}$ around 15-20 days after maximum and then
remains almost constant. The derived photospheric velocities, indicate a lower
velocity for Type II SNe 1987A and 1999em as compared to SN Ic 1994I and SN IIb
1993J, while Type Ib events display a somewhat larger variation. The scatter,
around day 20, is measured to be $\sim$5000 km s$^{-1}$. Following two simple
approaches, rough estimates of ejecta and hydrogen masses are given. A mass of
hydrogen of approximately 0.02 $M_\odot$ is obtained for SN 1990I, while SNe
1983N and 2000H ejected $\sim$0.008 $M_\odot$ and $\sim$0.08 $M_\odot$ of
hydrogen, respectively. SN 1993J has a higher hydrogen mass, $\sim 0.7$
$M_\odot$ with a large uncertainty. A low mass and thin hydrogen layer with
very high ejection velocities above the helium shell, is thus the most likely
scenario for Type Ib SNe. Some interesting and curious issues relating to
oxygen lines suggest future investigations.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:24:32 GMT""},{""version"":""v2"",""created"":""Tue, 4 Apr 2006 14:28:06 GMT""}]","2009-11-11"
"astro-ph/0512573","John Kirk","J. G. Kirk, O. Tsang","High brightness temperatures and circular polarisation in extra-galactic
  radio sources","4 pages, to appear in A&A Letters",,"10.1051/0004-6361:200500231",,"astro-ph",,"  Some rapidly variable extra-galactic radio sources show very high brightness
temperatures T_B>10^{12}K and high degrees of circular polarisation (1%).
Standard synchrotron models that assume a power-law electron distribution
cannot produce such high temperatures and have much lower degrees of intrinsic
circular polarisation. We examine the synchrotron and inverse Compton radiation
from a monoenergetic electron distribution using standard synchrotron theory.
Constraints on the source parameters are found by formulating the results as
functions of the source size, Doppler boosting factor, optical depth to
synchrotron self-absorption, maximum frequency of synchrotron emission, and the
strength of the inverse Compton radiation. The model gives brightness
temperatures T_B=10^{13}K to 10^{14}K for moderate (<10) Doppler boosting
factors and intrinsic degrees of circular polarisation at the percent level. It
predicts a spectrum I_\nu\propto\nu^{1/3} between the radio and the infra-red
as well as emission in the MeV to GeV range. We find the conditions under which
electrons do not cool within the source, enabling the GHz emission to emerge
without absorption and the potentially catastrophic energy losses by inverse
Compton scattering to be avoided. We suggest that sources such as PKS 1519
-273, PKS 0405 -385 and J 1819 +3845 can be understood within this scenario
without invoking high Doppler boosting factors, coherent emission mechanisms,
or the dominance of proton synchrotron radiation.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:46:26 GMT""}]","2009-11-11"
"astro-ph/0512574","Ferdinando Patat","F. Patat, S. Benetti, E. Cappellaro & M. Turatto","Reflections on Reflexions: II. Effects of Light Echoes on the luminosity
  and spectra of Type Ia Supernovae","15 pages, 14 figures, submitted to MNRAS. Full resolution version at
  http://www.eso.org/~fpatat/science/LE/paperII.pdf","Mon.Not.Roy.Astron.Soc.369:1949-1960,2006","10.1111/j.1365-2966.2006.10451.x",,"astro-ph",,"  In this paper we present and discuss the effects of scattered light echoes
(LE) on the luminosity and spectral appearance of Type Ia Supernovae (SNe).
After introducing the basic concepts of LE spectral synthesis, by means of LE
models and real observations we investigate the deviations from pure SN
spectra, light and colour curves, the signatures that witness the presence of a
LE and the possible inferences on the extinction law. The effects on the
photometric parameters and spectral features are also discussed. In particular,
for the case of circumstellar dust, LEs are found to introduce an apparent
relation between the post-maximum decline rate and the absolute luminosity
which is most likely going to affect the well known Pskowski-Phillips relation.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:56:21 GMT""}]","2009-11-11"
"astro-ph/0512575","David Alexander Kann","D. A. Kann, S. Klose, A. Zeh","Signatures of Extragalactic Dust in pre-Swift GRB Afterglows","Submitted to ApJ 25 May 2005, accepted for publication 16 December
  2005, updated 22 December 2005. 50 Pages, 12 Figures, 5 Tables. Figures 1a to
  1af (30 subfigures) merged into three subfigures with downgraded resolution.
  Figures 7 and 8 severly downsampled in resolution","Astrophys.J.641:993-1009,2006","10.1086/500652",,"astro-ph",,"  We present the results of a systematic analysis of gamma-ray burst afterglow
spectral energy distributions (SEDs) in the optical/near-infrared bands. Our
input list includes the entire world sample of afterglows observed in the
pre-Swift era by the end of 2004 that have sufficient publicly available data.
We apply various dust extinction models to fit the observed SEDs (Milky Way,
Large Magellanic Cloud and Small Magellanic Cloud) and derive the corresponding
intrinsic extinction in the GRB host galaxies and the intrinsic spectral slopes
of the afterglows. We then use these results to explore the parameter space of
the power-law index of the electron distribution function and to derive the
absolute magnitudes of the unextinguished afterglows.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:24:35 GMT""}]","2009-11-13"
"astro-ph/0512576","Ruth A. Daly","Ruth A. Daly and S. G. Djorgovski","Constraints on the Physical Parameters of the Dark Energy Using a
  Model-Independent Approach","10 pages, 20 figures, submitted for publication",,,,"astro-ph",,"  Understanding the physical nature of the dark energy which appears to drive
the accelerated expansion of the unvierse is one of the key problems in physics
and cosmology today. This important problem is best studied using a variety of
mutually complementary approaches. Daly and Djorgovski (2003, 2004) proposed a
model independent approach to determine a number of important physical
parameters of the dark energy as functions of redshift directly from the data.
Here, we expand this method to include the determinations of its potential and
kinetic energy as functions of redshift. We show that the dark energy potential
and kinetic energy may be written as combinations of the first and second
derivatives of the coordinate distance with respect to redshift. We expand the
data set to include new supernova measurements, and now use a total of 248
coordinate distances that span the redshift range from zero to 1.79. First and
second derivatives of the coordinate distance are obtained as functions of
redshift, and these are combined to determine the potential and kinetic energy
of the dark energy as functions of redshift. An update on the redshift behavior
of the dimensionless expansion rate E(z), the acceleration rate q(z), and the
dark energy pressure p(z), energy density f(z), and equation of state w(z) is
also presented. We find that the standard Omega = 0.3 and Lambda = 0.7 model is
in an excellent agreement with the data. We also show tentative evidence that
the Cardassian and Chaplygin gas models in a spatially flat universe do not fit
the data as well.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:23:09 GMT""}]","2007-05-23"
"astro-ph/0512577","Timothy Donaghy","T. Q. Donaghy","The Importance of Off-Jet Relativistic Kinematics in Gamma-Ray Burst Jet
  Models","12 pages, 13 figures. Ph.D. dissertation, submitted to ApJ","Astrophys.J.645:436-449,2006","10.1086/504255",,"astro-ph",,"  Gamma-Ray Bursts (GRBs) are widely thought to originate from collimated jets
of material moving at relativistic velocities. Emission from such a jet should
be visible even when viewed from outside the angle of collimation. I summarize
recent work on the special relativistic transformation of the burst quantities
Eiso and Epeak as a function of viewing angle, where Eiso is the
isotropic-equivalent energy of the burst and Epeak is the peak of the burst
spectrum in the power nu F_nu. The formulae resulting from this work serve as
input for a Monte Carlo population synthesis method, with which I investigate
the importance of off-jet relativistic kinematics as an explanation for a class
of GRBs termed ""X-ray Flashes"" (XRFs). I do this in the context of several
top-hat shaped variable opening-angle jet models. I find that such models
predict a large population of off-jet bursts that are observable and that lie
away from the Epeak ~ Eiso^(1/2) relation. The predicted burst populations are
not seen in current datasets. I investigate the effect of the bulk gamma value
upon the properties of this population of off-jet bursts, as well as the effect
of including an Omega0-Egamma correlation to jointly fit the Epeak ~ Eiso^(1/2)
and Epeak ~ Egamma^(beta) relations, where Omega0 is the opening solid angle of
the GRB jet. I find that the XRFs seen by HETE-2 and BeppoSAX cannot be easily
explained as classical GRBs viewed off-jet. I also find that an inverse
correlation between gamma and Omega0 has the effect of greatly reducing the
visibility of off-jet events. Therefore, unless gamma > 300 for all bursts or
unless there is a strong inverse correlation between gamma and Omega0, top-hat
variable opening-angle jet models produce a significant population of bursts
away from the Epeak ~ Eiso^(1/2) and Epeak ~ Egamma^(beta) relations.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:19:37 GMT""}]","2009-11-13"
"astro-ph/0512578","Igor Soszynski","I. Soszynski, A. Udalski, M. Kubiak, M.K. Szymanski, G. Pietrzynski,
  K. Zebrun, O. Szewczyk, L. Wyrzykowski, K. Ulaczyk","The Optical Gravitational Lensing Experiment. Miras and Semiregular
  Variables in the Large Magellanic Cloud","18 pages, 6 figures, LaTeX. Photometric data presented in the paper
  are available from the OGLE Internet archive: http://ogle.astrouw.edu.pl/ or
  its US mirror: http://bulge.princeton.edu/~ogle/","Acta Astron. 55 (2005) 331",,,"astro-ph",,"  We use the OGLE-II and OGLE-III data in conjunction with the 2MASS
near-infrared (NIR) photometry to identify and study Miras and Semiregular
Variables (SRVs) in the Large Magellanic Cloud. We found in total 3221
variables of both types, populating two of the series of NIR period-luminosity
(PL) sequences. The majority of these objects are double periodic pulsators,
with periods belonging to both PL ridges. We indicate that in the period -
Wesenheit index plane the oxygen-rich and carbon-rich AGB stars from the NIR PL
sequences C, C' and D split into well separated ridges. Thus, we discover an
effective method of distinguishing between O-rich and C-rich Miras, SRVs and
stars with Long Secondary Periods using their V and I-band photometry. We
present an empirical method of estimating the mean K_s magnitudes of the Long
Period Variables using single-epoch K_s measurements and complete light curves
in the I-band. We utilize these corrected magnitudes to show that the O-rich
and C-rich Miras and SRVs follow somewhat different K_s-band PL relations.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:22:18 GMT""},{""version"":""v2"",""created"":""Sat, 31 Dec 2005 05:38:48 GMT""}]","2007-05-23"
"astro-ph/0512579","Yury Lyubarsky","Yuri Lyubarsky, David Eichler","Are GRB shocks mediated by the Weibel instability?","13 pages, 3 figures","Astrophys.J.647:1250-1254,2006","10.1086/505523",,"astro-ph",,"  It is estimated that the Weibel instability is not generally an effective
mechanism for generating ultrarelativistic astrophysical shocks. Even if the
upstream magnetic field is as low as in the interstellar medium, the shock is
mediated not by the Weibel instability but by the Larmor rotation of protons in
the background magnetic field. Future simulations should be able to verify or
falsify our conclusion.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:25:34 GMT""}]","2009-11-13"
"astro-ph/0512580","J. Craig Wheeler","Josef Stein and J.Craig Wheeler","The Convective Urca Process with Implicit Two-Dimensional Hydrodynamics","22 pages, 11 figures, accepted for publication in the Astrophysical
  Journal","Astrophys.J.643:1190-1197,2006","10.1086/503246",,"astro-ph",,"  Consideration of the role of the convective flux in the thermodymics of the
convective Urca neutrino loss process in degenerate, convective, quasi-static,
carbon-burning cores shows that the convective Urca process slows down the
convective current around the Urca-shell, but, unlike the ""thermal"" Urca
process, does not reduce the entropy or temperature for a given convective
volume. Here we demonstrate these effects with two-dimensional numerical
hydrodynamical calculations. These two-dimensional implicit hydrodynamics
calculations invoke an artificial speeding up of the nuclear and weak rates.
They should thus be regarded as indicative, but still qualitative. We find
that, compared to a case with no Urca-active nuclei, the case with Urca effects
leads to a higher entropy in the convective core because the energy released by
nuclear burning is confined to a smaller volume by the effective boundary at
the Urca shell. All else being equal, this will tend to accelerate the
progression to dynamical runaway. We discuss the open issues regarding the
impact of the convective Urca process on the evolution to the ""smoldering
phase"" and then to dynamical runaway.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:57:22 GMT""},{""version"":""v2"",""created"":""Sun, 25 Dec 2005 21:07:45 GMT""}]","2009-11-13"
